"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","01:34:44","01:35:27","43"
"ERR_S1_29","未测流道B模组阻挡工位2状态不符报警","感应器类型报警","01:35:16","01:35:27","11"
"ERR_S1_28","未测流道B模组阻挡工位1状态不符报警","感应器类型报警","01:35:16","01:35:27","11"
"ERR_S1_27","未测流道A模组阻挡工位2状态不符报警","感应器类型报警","01:35:16","01:35:27","11"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","04:38:28","04:38:49","21"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","05:49:11","05:50:47","96"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","05:51:10","05:51:52","42"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","05:52:33","05:53:16","43"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","05:54:31","05:55:04","33"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","06:21:41","06:23:07","86"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","06:23:07","06:23:24","17"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","06:31:55","06:33:55","120"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","06:45:24","06:45:34","10"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:05:49","07:06:10","21"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:06:21","07:06:42","21"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:07:14","07:07:56","42"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","07:07:57","07:08:18","21"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","07:08:40","07:09:53","73"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:10:34","07:10:44","10"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","07:11:07","07:11:18","11"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","07:11:28","07:12:32","64"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","07:12:53","07:14:18","85"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","07:20:18","07:20:29","11"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:21:09","07:21:20","11"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","07:21:32","07:21:43","11"
"ERR_S1_22","未测流道A模组顶升工位1状态不符报警","感应器类型报警","07:23:38","07:23:49","11"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","07:23:50","07:24:01","11"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:25:24","07:25:35","11"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","07:25:36","07:25:47","11"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:27:53","07:28:04","11"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","07:28:27","07:28:48","21"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","07:30:22","07:30:43","21"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","07:35:54","07:36:15","21"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","07:39:38","07:39:49","11"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","07:40:10","07:40:31","21"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","07:46:51","07:47:16","25"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","07:52:12","07:53:49","97"
"ERR_S1_22","未测流道A模组顶升工位1状态不符报警","感应器类型报警","07:57:17","07:57:28","11"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","08:17:21","08:18:46","85"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","08:33:10","08:34:35","85"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","11:38:04","11:38:38","34"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","12:36:00","12:38:35","155"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","12:43:33","12:44:42","69"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","12:56:19","12:57:10","51"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","13:42:07","13:42:24","17"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","15:29:21","15:29:39","18"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","16:05:37","16:05:47","10"
"ERR_S4_110","B工位NG盘满料报警，请及时取走","","17:27:01","17:27:23","22"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","17:34:28","17:35:12","44"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","18:10:53","18:11:47","54"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","18:46:08","18:46:26","18"
"ERR_S4_70","C33_B取料盘夹爪气缸动位报警","气缸类型报警","19:37:25","19:40:41","196"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","19:37:39","19:40:20","161"
"ERR_S4_101","B搬运夹爪有料状态不符报警","感应器类型报警","19:39:12","19:40:23","71"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","19:40:38","19:41:14","36"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","19:42:51","19:44:03","72"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","19:45:17","19:46:10","53"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","20:32:03","20:32:50","47"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","22:50:36","22:50:58","22"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","23:17:09","23:18:03","54"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","23:44:53","23:45:37","44"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","23:45:48","23:46:20","32"
