"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","00:00:06","00:00:17","11"
"ERR_S3_75","A工位B料盘上相机扫码NG","CCD类型报警","00:00:29","00:00:40","11"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","01:27:44","01:28:29","45"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","01:49:10","01:49:44","34"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","02:10:02","02:10:47","45"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","03:19:20","03:20:05","45"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","04:49:59","04:50:21","22"
"ERR_S3_94","A工位MES上传数据PC反馈超时报警","MES上传类型报警","06:07:29","06:07:40","11"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","06:56:37","07:12:42","965"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","07:12:53","07:14:12","79"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","07:14:24","07:14:36","12"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","07:21:50","07:22:09","19"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","07:22:27","07:25:02","155"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","07:28:48","07:29:07","19"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","07:54:14","07:54:25","11"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","07:54:36","07:54:48","12"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","08:01:00","08:01:45","45"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","08:01:47","08:01:58","11"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","08:02:32","08:03:06","34"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","08:03:18","08:03:29","11"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","08:03:41","08:03:52","11"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","08:20:52","08:22:07","75"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","08:23:07","08:23:19","12"
"ERR_S2_14","A空盘仓满盘报警","感应器类型报警","08:40:44","08:40:55","11"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","09:08:41","09:09:38","57"
"ERR_S4_110","B工位NG盘满料报警，请及时取走","","11:52:38","11:52:57","19"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","12:41:19","12:42:35","76"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","13:28:19","13:30:30","131"
"ERR_S1_24","未测流道B模组顶升工位1状态不符报警","感应器类型报警","15:46:46","15:47:04","18"
"ERR_S4_70","C33_B取料盘夹爪气缸动位报警","气缸类型报警","15:46:49","15:47:08","19"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","16:33:44","16:34:03","19"
"ERR_S1_26","未测流道A模组阻挡工位1状态不符报警","感应器类型报警","16:34:21","16:34:40","19"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","16:34:43","16:35:01","18"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","16:37:28","16:37:53","25"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","17:27:19","17:27:38","19"
"ERR_S3_80","A工位产品扫码拍照反馈超时","CCD类型报警","17:30:06","17:30:25","19"
"ERR_S3_110","A工位NG盘满料报警，请及时取走","","17:31:40","17:31:58","18"
"ERR_S3_112","A工位治具2不在测试中并且治具不在安全位_治具异常报警","治具异常类型报警","18:36:21","18:36:39","18"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","19:38:40","19:39:18","38"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","19:52:28","19:52:39","11"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","19:52:50","19:53:01","11"
"ERR_S4_71","B工位MES数据上传NG报警","MES上传类型报警","19:53:37","19:53:48","11"
"ERR_S3_93","A工位MES上传数据NG报警","MES上传类型报警","19:53:59","19:54:33","34"
"ERR_S3_83","测试箱取料连续3次失败报警","真空类型报警","19:54:56","19:55:31","35"
"ERR_S3_91","A已测吸嘴1状态不符报警","感应器类型报警","22:10:46","22:11:55","69"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","22:28:17","22:28:40","23"
