"报警代码","报警内容","报警类别","开始时间","结束时间","报警时间(s)"
"ERR_S4_73","连续3次料盘取料失败报警","真空类型报警","08:45:37","08:45:53","16"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","08:45:52","08:46:09","17"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","10:28:30","10:28:50","20"
"ERR_S2_18","B空盘仓满盘报警","感应器类型报警","11:11:54","11:12:05","11"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","11:37:46","11:37:56","10"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","12:14:53","12:15:14","21"
"ERR_S3_73","A工位上传查询NG报警","MES上传类型报警","12:28:39","12:28:50","11"
"ERR_S4_76","B工位进站数据查询NG报警","MES上传类型报警","13:12:11","13:12:31","20"
"ERR_S3_95","A工位连续3次取料失败报警","真空类型报警","13:37:48","13:37:58","10"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","14:49:08","14:50:31","83"
"ERR_S3_38","A04_A搬运R1轴未使能报警","轴类型报警","15:01:47","15:02:20","33"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","16:58:14","16:59:22","68"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","17:41:42","17:43:24","102"
"ERR_S2_12","已测流道有料状态[1]状态不符报警","感应器类型报警","17:41:57","17:42:14","17"
"ERR_S2_12","已测流道有料状态[1]状态不符报警","感应器类型报警","17:42:31","17:43:21","50"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","17:44:15","17:45:23","68"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","18:16:44","18:17:00","16"
"ERR_S4_91","B已测吸嘴1状态不符报警","感应器类型报警","18:17:00","18:17:17","17"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","18:21:51","18:23:16","85"
"ERR_S4_86","B模组测试箱取料连续3次失败报警","真空类型报警","19:12:58","19:14:22","84"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","19:18:04","19:19:46","102"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","19:23:46","19:25:11","85"
"ERR_S4_65","V07_B已测取料真空1阀报警","真空类型报警","19:25:45","19:26:53","68"
